date,city_zone,traffic_density,car_count,bus_count,truck_count,bike_count,temperature,humidity,wind_speed,pm25,no2,co
2025-01-22,North,374,241,31,24,188,16.81117219486397,55.42429521892577,18.747761329942378,294.14938264424325,38.183695095140656,4.810703544755467
2025-01-23,South,421,42,13,30,181,24.81233891016712,70.05299395748823,0.8634747159402334,197.5597987228063,65.31928405700461,2.8834687577552893
2025-01-24,West,147,269,30,56,137,26.998470867928088,35.73211883008009,3.2962963145887425,55.35412763806077,15.524334604725905,1.5885198235080014
2025-01-25,West,247,29,26,82,74,30.000513702982595,67.43155948059439,2.634575469091238,209.32971738112153,76.57644524815574,2.752716070196184
2025-01-26,South,444,265,34,62,127,22.29156446773258,57.10606072423374,14.51959819970591,111.02912432087571,86.02344175407285,3.558291497307985
2025-01-27,South,289,119,47,18,160,32.37454715316356,65.19650779052844,16.3557065971389,212.17161507210727,41.884963054449344,0.8430764808810401
2025-01-28,South,193,199,21,83,66,36.503059929730114,40.0808524646918,4.270227326213439,39.49952148547361,144.96403860317193,1.736167167715514
2025-01-29,West,146,242,30,61,197,34.496274722333744,74.21242469665093,10.11705385903658,68.96680240926864,137.32364553121388,4.131344708977972
2025-01-30,West,250,269,40,66,137,15.990470633708929,81.7678246525937,16.814060560224,259.60643249362016,111.10005296382683,2.5684919168119755
2025-01-31,North,173,166,5,35,68,27.012673681445726,43.00438800544654,14.656030895325012,83.61027596658417,84.67412802715076,2.959597139145327
2025-02-01,North,236,115,12,50,44,17.623254460454373,35.7428733312097,10.844744109836967,254.37151506802323,131.7956823506759,2.447672009942612
2025-02-02,West,375,276,39,44,149,21.051125396563187,31.418315162780182,11.806953809175457,98.19730476723493,28.291328135284807,0.697549741893523
2025-02-03,South,398,23,19,72,33,39.66656483167866,68.51829002659596,10.1672109383256,200.00693481643813,120.6713711984839,1.2458740091907017
2025-02-04,South,308,35,26,34,122,18.56238857253783,66.42564216532685,5.950969026376411,214.3621605827527,27.474913955358762,2.504937374338509
2025-02-05,North,197,299,18,99,182,27.472203836283903,62.8018447628442,11.300439857180322,163.54333088061483,121.18949275691676,1.4413345943356752
2025-02-06,West,301,266,30,84,170,30.45389335795298,43.916825766958524,13.777706041001814,105.48698947508475,48.607459555189976,0.7249056289685543
2025-02-07,North,492,277,32,47,190,32.561624263602596,53.45435975433088,17.466458317216155,79.54042538390692,132.79268134254644,4.296423488233207
2025-02-08,North,469,179,27,11,45,28.991217087172853,65.66858011117039,12.725827079584962,29.293019277479342,142.1658931355557,4.915366381238521
2025-02-09,East,452,171,18,16,199,15.244271185479592,59.80601153155016,15.22243074086316,105.10499234740267,30.83143571671619,4.0691429329853275
2025-02-10,East,395,197,28,91,137,23.1615327060998,89.26713121289325,3.20143269909146,202.88558134875925,74.77458470915509,4.342032147671002
2025-02-11,East,196,182,6,43,155,27.942791084617788,38.18638515340399,9.231149488395797,282.72534916557515,147.3382329427759,1.5888970864267042
2025-02-12,South,197,52,49,26,84,17.196662478620834,71.70867324285562,0.18663239654186592,263.93725503365454,77.67704103624052,4.822821389809399
2025-02-13,West,401,198,30,52,199,23.76567328022952,54.259126086257524,4.93357729043246,234.49813742988474,130.89665315203632,1.3861656700404277
2025-02-14,West,248,120,18,68,63,15.830077719784164,55.69197689553688,14.529234302260097,240.76525611092364,92.42241309838478,4.7814341466282455
2025-02-15,West,357,287,11,60,187,16.964462428875517,73.05586593949057,19.83619902698727,206.19577297327868,62.54618710874426,4.97668682284678
2025-02-16,West,466,84,7,63,42,24.9230819050399,71.54616907946217,1.9835619917443181,92.88032011848084,50.00969777362183,3.702752625857219
2025-02-17,East,473,187,27,33,170,18.31789385107651,89.4753596221313,8.029886317225765,274.01460859763233,38.45123275205222,4.915146793063198
2025-02-18,South,177,62,47,34,47,29.188521206538955,37.703657367247516,16.00141937398319,207.80504733363352,116.65174679287762,3.0629290080519667
2025-02-19,South,88,63,49,80,189,32.236624228431644,36.246578963049984,4.080712692577977,176.92337667452318,64.1156709552239,1.6679380242924065
2025-02-20,East,387,31,22,61,125,35.01466747772707,73.46032902772447,11.101698986045726,51.0770513797747,81.57856470810516,2.4664814854952937
2025-02-21,South,409,114,42,79,152,20.003756106120253,64.70321502038455,14.661425920593496,145.17555226579913,78.92556720016547,3.171024209204537
2025-02-22,East,178,272,39,97,68,19.187064556476745,46.44963999358835,12.319709005203581,148.90031593653936,90.81906409263837,0.8288670291215674
2025-02-23,West,316,261,19,42,75,17.614196008360008,34.765162139339196,3.7604946923083227,262.0778106663476,131.18080038743733,3.3005446907776075
2025-02-24,East,490,54,29,58,58,30.910756238590917,35.13949497578583,7.107691373714788,173.06150165258077,147.3035081016801,4.915300265430325
2025-02-25,West,483,234,41,38,91,32.66189316217253,83.6514524798471,15.675835689707945,126.5121537117147,67.06178920033437,1.3554844240267743
2025-02-26,West,200,109,32,72,45,15.789653620641051,41.512039483124575,11.084530282640333,293.5040919829846,125.85264909488242,4.066678023297725
2025-02-27,North,464,283,14,31,150,38.405306156092244,49.40229372693125,0.10459227085825473,51.001766131368385,117.03389125166048,4.5855445720082875
2025-02-28,East,347,112,43,35,39,16.29928209128681,43.59938413361928,15.219815200561877,138.3135599273445,90.29405320378025,4.746657167690993
2025-03-01,North,148,109,21,37,187,28.53240838252676,51.29977834991624,0.7062270988047814,31.76690904799348,143.84660010567063,4.820610219824513
2025-03-02,East,312,134,43,94,182,32.72651298627291,34.1654305647656,14.914675654624643,227.1731538147405,38.066432173976395,2.846568374246624
2025-03-03,East,301,124,26,58,132,36.77422809365214,61.14358745449622,4.049611203304748,277.06143461576215,25.296989443346998,4.897885585961767
2025-03-04,North,193,215,30,80,113,32.85217330331069,34.05675381553289,19.161469602387605,98.41045227413704,129.5546753737591,3.907895932104975
2025-03-05,North,395,133,48,90,162,35.04320207674479,78.0213904693417,7.35881502604169,260.3356695037538,71.48097432872476,1.2275214630663285
2025-03-06,East,161,94,29,93,94,23.486254813570152,44.02272491462598,6.538632326761582,101.82110452933138,128.57563958898845,2.646050479105865
2025-03-07,South,109,236,21,58,32,35.3706278436628,62.400714876270634,2.9777610066488935,275.01564526029625,135.0326287273581,3.732490289174018
2025-03-08,West,418,296,17,29,171,17.00287115961688,82.80474525368749,6.112084309804297,231.1093330070995,18.74406310667,1.613031421185875
2025-03-09,North,51,268,24,95,149,37.37041640151319,69.05264214283164,17.53301523656401,245.3738975156028,133.68506681804848,3.382768325969993
2025-03-10,West,434,183,29,72,187,28.689809403843405,61.977467193080116,19.926686752544946,25.04183556812726,72.7646677517191,3.4997021557097865
2025-03-11,South,353,211,8,70,97,35.43244424906234,49.460025186922536,7.366190610136966,289.58689998072725,81.4605484605925,1.2321488471385464
2025-03-12,South,303,246,14,58,175,26.307957112957503,49.98011478349187,8.97221261909085,223.46787777969053,97.72295155304943,3.042883906037403
2025-03-13,South,189,196,7,80,66,31.089442379913123,70.1692173118914,14.441418764054742,105.33030670811733,139.69356494221213,3.9723210994037346
2025-03-14,North,86,118,45,10,182,28.160066523402833,89.64836167327005,17.72391560930149,252.23050616047715,12.676253220166965,2.7450304904117386
2025-03-15,South,209,55,49,22,102,33.2897380438833,69.71035139096271,11.860886683735682,98.82593555618038,76.7580855644944,0.5544640254924834
2025-03-16,North,58,115,22,96,172,17.04074955076474,63.46700504220149,7.830513963556587,264.3710750785158,106.2810859402785,0.5406731108568148
2025-03-17,South,282,171,40,60,78,16.508802099764097,73.83903061435477,8.252436816972475,51.52250931534236,111.17897407775199,2.106632047865055
2025-03-18,West,148,170,26,65,150,21.177580850253662,57.91233673702309,13.912362929936137,217.0320736890228,106.95454041519511,4.667873307943019
2025-03-19,West,196,209,38,92,117,18.98861700282971,33.60854055604711,0.06436527208557363,171.3955734605749,28.82091811713706,1.5290455082162395
2025-03-20,East,353,243,12,71,169,36.794589164805046,63.73780895267459,12.391786749196815,47.02965165472342,51.915382372035374,3.354636599922592
2025-03-21,West,257,56,44,41,66,20.480349683951108,87.45751707032281,7.109860208827148,87.73027191247492,60.22017355838189,1.4993414181199425
2025-03-22,East,180,287,48,39,90,39.39663139547828,40.51817654145958,15.883946625541686,23.473130157648143,122.6212090751307,1.9475149534679688
2025-03-23,West,453,202,23,38,153,23.422394794277672,71.40029344923994,1.8598127964626432,151.25503033006163,49.02638213803742,4.316189403206678
2025-03-24,North,201,32,46,58,68,19.55294789221748,42.05602131954339,11.76404533896781,104.3542730128001,39.498694941408445,3.779876490214761
2025-03-25,West,103,298,45,54,92,34.74246267856198,62.14966106838487,9.619457797722475,187.54009560337246,144.04272266533346,0.9292967479094478
2025-03-26,East,169,236,41,39,75,31.467694387521902,35.800586978803175,12.846510518104548,103.22658615841281,11.240859915885647,2.429159094438951
2025-03-27,East,210,292,10,25,117,27.454892911328475,57.02225617549111,1.297071889659367,103.97735122195571,149.69491979547695,0.63126393640369
2025-03-28,South,457,81,30,49,40,28.88408877344078,75.36979973371476,11.599675748562625,228.09409564484895,104.75498184003538,2.6640056597135406
2025-03-29,North,165,103,38,28,91,32.980044456806596,50.85429145433892,11.229691759190475,33.47999407393897,125.98570192287639,3.4809530526548063
2025-03-30,West,124,236,49,27,106,20.711368533282467,69.89470346923308,11.213201888323418,272.8105986537564,51.246715488467046,1.033261806191682
2025-03-31,South,162,206,10,10,182,39.90834790141855,77.72699764738375,12.069753331929096,258.6338848295308,12.004138873388397,1.7999822250912456
2025-04-01,West,469,38,41,87,81,39.36982905366958,85.63066916876716,13.529358744527244,206.98531130339381,113.30173259861421,2.2902648147597064
2025-04-02,West,471,196,37,56,33,31.258142158673422,44.078524911327214,16.099779993615396,186.1020396300676,126.7802435800946,4.637889610952223
2025-04-03,South,153,119,26,75,88,19.988561273228626,53.958954948558485,5.396414402564287,269.8446994791026,113.66665847349267,4.969647569403338
2025-04-04,South,389,252,25,47,101,32.00570606078229,39.14496079982504,16.500988203601242,71.89245026804005,29.999040222117404,0.7021008454802713
2025-04-05,South,303,95,10,60,177,16.804960224479395,89.5490101295025,9.965113645269073,42.11136541343201,115.47990911597567,3.9245356557292643
2025-04-06,South,276,284,10,72,122,15.766312555145152,85.62005807545772,1.5411655826866233,87.06284757467067,117.64918949506973,2.1727582988105443
2025-04-07,South,161,225,8,13,92,21.442072212780342,62.39742781683358,1.171018584879584,242.4819180360533,102.19567219380768,2.2660618380326603
2025-04-08,West,148,242,34,10,83,26.565573918482908,80.52199766258528,6.6847663739212155,29.70767468341533,117.25623059138206,3.894192380061602
2025-04-09,South,202,71,15,17,146,36.706812635209516,61.25747863632253,15.697939542229351,183.1859138233771,128.42900155488252,4.632918944654339
2025-04-10,North,398,163,34,38,139,33.1792267441577,67.41514128016559,14.153618694818315,298.7225045335668,95.90457599324418,4.779178675261468
2025-04-11,East,451,88,35,64,103,33.56766302999952,35.34746592696099,15.772299293448128,259.594906274511,22.40465995575507,3.0970516371724437
2025-04-12,South,433,118,28,12,136,25.637333361201883,75.31622522980848,10.345381128832187,166.00479293220505,78.26789335340952,2.1070452168522626
2025-04-13,South,415,44,13,41,86,23.648374813674074,37.66280901811409,8.80397995910981,37.81945460025986,20.87090685402471,4.043970886364507
2025-04-14,West,387,72,7,19,198,24.27596907461507,79.5640578151517,2.949050534125679,252.78458402799876,67.05602434454032,1.6295062246803511
2025-04-15,South,243,170,35,83,32,39.69123909340145,76.92168526022316,6.5638550721862305,187.71398228961894,66.99490847758787,3.03833312975083
2025-04-16,South,359,163,44,92,149,16.002729785312063,72.52468186457858,8.680387323477506,52.181239176678716,19.24137817963382,2.113603076861929
2025-04-17,South,212,76,41,43,35,36.675787403061214,32.169622831485725,1.7720085935923446,46.280039750539736,58.83487475572711,3.4548398316854425
2025-04-18,West,257,58,40,96,34,29.466885214309833,48.187701356719714,4.412239054224225,274.6955094422459,25.539733830784076,1.581795108020781
2025-04-19,South,494,128,28,64,34,25.965385479739762,45.78675419465057,11.964505881274777,207.37607362266198,123.1529294012911,1.3621682558067159
2025-04-20,East,218,200,35,41,83,33.13144151037841,51.60818444829114,14.713262284783797,252.20030380869156,142.6763236350259,4.6320758900394665
2025-04-21,West,210,61,10,59,76,27.16672353561757,35.25856480583031,19.966950227858995,266.1140920790349,20.124306536111405,0.958116573272916
2025-04-22,East,117,205,6,16,38,36.83558095204151,86.21746938186376,18.662266626871155,180.09625857353024,143.7161290208382,2.7768105848071922
2025-04-23,West,338,242,24,17,128,37.51754660028146,63.22813444274258,12.85130399070383,164.88497849141154,83.16072390714432,1.4938375233335401
2025-04-24,South,447,141,32,74,49,25.543023171836385,48.33145863948141,8.42496106588144,140.51967488987725,51.939194913542345,0.6751848349655035
2025-04-25,East,326,152,15,66,151,21.920694930876287,53.818891024457,12.723547294164653,108.7450445815134,20.760690538662892,0.6620846823114188
2025-04-26,West,353,182,8,76,90,29.808758214834057,56.83215243029014,15.71303236160464,141.6868690404393,80.08739752985849,1.288497974476223
2025-04-27,North,453,234,19,97,152,37.80908364041727,66.03566000163704,2.3667238184677464,236.6863036044438,121.23217622870482,4.400466595277001
2025-04-28,South,433,240,10,96,192,20.266554725141663,60.94076566178987,8.198097793925765,188.53856068423684,108.99210681733774,1.77115434789662
2025-04-29,West,441,254,34,68,111,30.57416458908707,85.16351839286504,16.796045712712345,269.90652118735693,17.031641604956327,4.777066267588831
2025-04-30,North,184,165,42,81,91,30.789005502313014,59.817808974349816,7.67665903866088,144.14640402617255,20.20625695150649,3.117300318451371
2025-05-01,West,244,258,6,63,174,33.327825560382024,89.52948088939877,11.43744542454373,189.98508204125113,66.40225956856919,2.4647638539594476
2025-05-02,North,450,95,19,76,32,18.289192128181494,81.08549746470575,11.755387217243964,196.76611486575683,51.34066916671206,3.1103997560125456
2025-05-03,South,177,28,15,60,189,32.895624117052215,42.51063086144015,3.689525062672787,185.67520544577116,42.5338052278467,2.825142733518205
2025-05-04,East,82,93,12,17,42,37.72581301664103,85.83571287863498,7.244708833045768,216.73745646394457,49.3406298472199,3.9144931419079634
2025-05-05,North,225,272,30,43,149,19.492077721756047,36.98198387312856,6.690225774838643,86.48137114494575,122.48758406156385,1.7712322968778351
2025-05-06,West,492,249,49,44,154,20.93858312309694,79.04698250947149,0.5239341706412959,163.46185771282137,140.09192750845955,2.088726762201361
2025-05-07,South,420,26,48,97,118,39.28487735104099,52.837397608594806,0.4838352778271049,49.182944786337345,66.7143772338593,4.523424361399628
2025-05-08,North,424,193,9,87,102,19.524423817737244,82.67845922670418,16.63394087351547,127.66317174054751,136.85554029854958,4.7590543091768245
2025-05-09,West,71,160,10,41,97,36.35962733423948,82.08340140644702,5.461416199456249,156.54677921395404,55.00939817470348,4.516512023689136
2025-05-10,West,287,187,30,55,171,27.30694641120087,78.35552400705727,10.36157532477631,202.6227926727323,76.70117808813083,2.387515972807911
2025-05-11,West,207,189,8,25,130,21.180776860079426,77.40182617842368,5.974511471775461,286.148694724137,41.64405969423996,4.011644763530968
2025-05-12,North,87,141,23,77,127,36.768747531812785,48.280748345882444,18.81358490230681,188.18229863353963,99.66664590461815,2.6435107998549445
2025-05-13,North,279,213,24,46,40,26.132631375066637,34.85515698307513,5.185935177315475,228.20629652943674,147.05735612447324,2.7389293346574597
2025-05-14,North,414,24,37,63,134,27.870433848242257,54.178810725909685,8.593136254778702,161.75449665865676,94.48903344607301,1.4210604907577777
2025-05-15,East,100,48,24,94,96,23.98083423499414,40.41147089919052,17.454605009692038,197.54912878537277,60.09397177589684,3.160086364663324
2025-05-16,North,487,184,16,23,152,29.823771285873185,71.69706533414771,16.838671335836175,39.86102051745656,100.69444243867397,1.3376115398900656
2025-05-17,North,313,155,5,64,58,19.08809681462557,50.76598359226713,3.7220283569255463,91.22964263571716,27.20889498515426,1.992041145802372
2025-05-18,North,332,164,30,57,166,24.77703841629402,88.53661205159489,16.05286619591421,121.31886609743884,134.4122712371558,4.347635907289709
2025-05-19,East,76,236,18,91,182,39.23530805838219,68.45832464071992,9.163737734757852,152.2981394018238,80.4317531091771,1.4318411414488486
2025-05-20,North,275,151,42,16,105,21.45333581752819,79.34883381806165,9.659377441707104,32.78164874066745,72.9089638855499,0.8202122832804477
2025-05-21,West,326,89,41,83,199,31.418416613532305,37.95148036451091,2.6695994483188756,59.206747314928954,92.02107038349268,0.8105341667576733
2025-05-22,North,335,271,15,16,38,23.129751605617372,81.72086893635736,1.612030275142493,97.50800618156562,97.46974079051634,4.733530342263985
2025-05-23,West,146,294,40,42,69,34.33682814216502,85.36543143080365,14.558786139475304,292.02915345229417,20.048612871711825,2.781141970828256
2025-05-24,West,333,201,17,32,54,18.271841517958745,59.22371512913615,9.929223047105996,112.77716198885422,105.56641097127634,2.3423543231765827
2025-05-25,West,416,186,47,94,34,39.24552612696362,66.37517626505866,8.737014052303591,154.9714962713831,43.87043524417414,4.148953614535633
2025-05-26,East,497,110,7,28,168,26.34473853459098,75.88858805417973,14.590164573047934,74.90735956675002,109.95336855092258,4.261216675597322
2025-05-27,East,366,221,37,28,153,20.9012615836616,40.49031763562475,15.310257979822195,191.0184199012151,125.15487121378754,1.9948596490202206
2025-05-28,East,353,38,10,45,67,16.837418683250316,60.15396458780654,3.1781633533870712,98.5913003444728,122.55419105735284,3.6212812586320786
2025-05-29,North,196,58,14,38,101,19.24394762718852,53.919781666338785,12.204502989552825,77.9579219627595,87.35013543710448,3.9700526713334896
2025-05-30,West,53,145,9,69,162,27.994348713900443,38.782439529734944,2.7070816455537106,164.64033596487414,82.82378492350516,3.4459280908967953
2025-05-31,East,84,192,27,91,119,23.425079410782157,52.05206533749188,15.027501720580913,21.54162376491783,30.00263458751764,1.1821778366004472
2025-06-01,East,241,160,14,11,175,35.72208414706523,34.09033856312961,13.13910312534279,22.145929141783093,118.54846105643898,4.441473875826757
2025-06-02,North,98,261,48,10,66,25.772188091545146,31.54871441696922,19.13229242166916,81.33926654852019,47.99731326254001,2.925925487312039
2025-06-03,East,66,239,6,56,89,21.217856814690748,38.109977349289366,1.3791603271284236,30.281981500229918,79.53735919451252,1.7711259186650166
2025-06-04,North,221,145,17,78,57,30.42862466510075,87.78690669535044,1.1410944230250863,50.247211156593586,49.79837300985234,2.4135268344696224
2025-06-05,South,269,77,44,29,110,32.669430422136145,62.97177215370102,5.6437414938640025,114.88098181485044,28.73597081995704,0.6690699067950832
2025-06-06,East,207,167,6,20,143,19.176047697523746,87.94932966919319,5.234113674718119,244.72399028234761,98.13807756484312,1.075400605500879
2025-06-07,South,95,20,24,11,69,19.190480407207943,55.94987269980792,4.939575981439996,180.17362014340424,17.606484875206537,3.9449603773213737
2025-06-08,North,422,209,5,76,74,15.916785673338575,48.70896798511558,18.125091610420732,163.5469632677966,114.810332777668,0.5000523563991477
2025-06-09,West,55,210,41,96,91,33.41005037664101,60.36851177041464,4.990923996990122,102.17687049827406,54.46215133655633,2.3745462281703147
2025-06-10,East,148,136,13,21,122,31.595113190545128,56.37070131797461,5.43899452257262,280.8910414411886,10.018857020627944,2.851295814885148
2025-06-11,North,429,153,21,29,144,26.865771893745347,36.33988105570464,15.187965248359275,131.16421154641367,81.55807949321218,0.7458548900043753
2025-06-12,West,282,77,13,14,96,36.10426122422993,68.44957888141238,8.9947968490108,44.385974702816014,16.559267193864436,4.878851733375498
2025-06-13,West,86,63,15,46,85,35.14175382375133,42.96229095057598,15.534211139103624,192.77862451298435,48.663738094925925,1.5175639906235237
2025-06-14,South,329,192,19,47,69,29.633859109918802,67.17527729386978,1.3073231512877048,51.87475017344839,108.97670824380026,1.8688942383632638
2025-06-15,North,398,179,28,18,127,36.70678201283147,69.01206554388921,9.751423873467687,116.66247998447378,18.77654702706122,1.867741305147623
2025-06-16,West,351,192,42,62,69,20.146030250919207,39.12149118771889,0.6722720036656527,162.07534284098648,127.50738892984033,1.5368749795280745
2025-06-17,East,230,168,39,53,120,17.7979904849432,33.680977626640086,1.2530640691070905,264.7823069118492,10.534789172201634,0.5066321993884013
2025-06-18,East,144,99,34,95,62,21.74374028792474,76.84569516410639,18.12874906688822,158.19304249523321,44.55534168826632,3.7820515733959836
2025-06-19,South,148,232,35,33,35,16.427171402232872,57.588025426159206,2.7849074223519033,216.632454488866,113.72656786129001,4.850804749096784
2025-06-20,West,237,222,9,90,176,28.2792382000258,33.48982773032855,10.648413645504341,297.9887149197397,54.27782096210295,1.5093206747827028
2025-06-21,North,165,271,48,83,109,38.41514230737404,89.69197903018602,8.221912052014131,56.81695357143485,24.264934329241896,3.483712363115401
2025-06-22,East,240,248,18,39,197,15.983588516712741,33.466833659782,6.946866525176853,96.92482714546546,60.432748632059905,3.838533471314218
2025-06-23,West,302,183,15,68,121,18.052747850250668,71.7021137315132,17.99666691374545,130.48130116734097,47.85506009383357,4.317914205907361
2025-06-24,West,465,246,13,96,126,26.30497570708588,89.02073551580482,0.43646793550979,138.11188999087278,127.97966630247768,2.4018313865612413
2025-06-25,South,210,166,38,90,88,38.34687543819762,44.350806252955536,13.275793723511782,135.08590107435282,53.868708461920036,1.8631890753819316
2025-06-26,East,305,39,16,90,88,22.903902624418762,38.53496212123177,19.267888684271007,274.13108071583537,120.45054604864102,1.96382810310364
2025-06-27,East,372,66,39,23,77,27.68087021720981,37.283096365345735,11.20336366923684,219.9291404507198,134.86210027350285,3.7067959989433077
2025-06-28,North,177,252,39,18,198,16.0393214762598,48.196508854055736,18.736449240661837,190.21345994539706,70.73443874071413,4.175507599275362
2025-06-29,East,67,33,5,49,42,18.70858002405222,36.0627486606388,1.0451575857204753,106.62436100157899,137.3920401396149,1.3172628549047118
2025-06-30,North,330,162,44,75,136,39.665753073971175,71.52968050164792,8.375866381483227,250.66130758196252,62.824527554846995,2.1692345367099435
2025-07-01,East,272,20,26,34,74,39.127967410901135,33.73750788780376,5.203155819241023,287.4169432157969,144.97097830861514,4.558730885371175
2025-07-02,South,103,73,33,82,118,15.123499523360241,60.56532768898738,14.616419299614595,249.93551911406342,22.50053343358021,4.130120838626326
2025-07-03,East,107,278,12,31,199,38.79529463558097,89.8018112311786,19.625941809944933,20.438229453612415,106.18269731045399,4.931862812431142
2025-07-04,North,372,163,15,13,129,30.97799844538751,78.83821617036114,5.130601248884956,198.19238365135396,79.13396566397002,3.8941171685693634
2025-07-05,North,409,31,45,35,184,36.697957363000555,66.91316629386066,13.083492029481489,34.317906803788205,64.2708327637906,2.26937840462565
2025-07-06,South,223,243,41,67,195,26.368496390846477,48.3752172471967,3.9619526551948026,92.13002169344212,98.57966302480413,3.15787025297587
2025-07-07,East,329,291,18,38,36,27.889900714481257,67.43375017749831,11.306605091432198,36.666916097376074,108.53999282880636,3.474564144112941
2025-07-08,East,163,175,34,96,162,27.221164506423005,61.6224878346991,9.278649733766724,189.06272682582858,10.610857751043273,0.8530511734270578
2025-07-09,South,337,27,39,46,74,31.67160643865261,55.565003033422286,19.44010659263074,212.2451757779299,33.37343242460782,2.950236315967393
2025-07-10,East,480,141,25,84,87,18.49128136890782,37.84262260441197,12.170545453929332,52.056538658453434,109.82644708880461,3.691943728126743
2025-07-11,East,391,183,41,79,60,15.749339746816949,83.196252914428,6.990127441736376,127.47488725259426,103.29395790094891,1.2529458680047716
2025-07-12,North,200,109,9,27,52,22.698248539779772,56.98707892927935,2.2819156977586674,147.74622250755175,145.24665071801482,4.012842728415007
2025-07-13,East,499,155,23,94,199,32.61701906841617,41.6773507092459,3.024936574698691,123.33484609305664,116.54529063510962,3.1269775123135024
2025-07-14,East,176,205,18,51,167,20.04633630307371,52.06556105263738,4.506338599024701,53.88700013585405,143.10817908238732,4.784998035639176
2025-07-15,South,204,197,30,50,189,31.835810833122935,54.84778515173562,5.01933322680596,137.30538125249313,108.35567021487297,0.6909003419310127
2025-07-16,South,435,47,8,47,136,39.24780115268176,79.65227373401245,17.012321156822757,230.3298533863571,51.72730920952204,1.6939676189996014
2025-07-17,West,322,239,29,43,187,17.34751789473546,74.01686283368412,11.224455765650498,39.88214606931153,24.751089115119907,3.2069924568492083
2025-07-18,North,153,60,49,26,68,31.815052955628158,76.15829361848039,10.467818227487328,42.450403942932965,119.45534086829099,1.834519604926688
2025-07-19,East,466,247,46,46,188,26.093755482614277,30.661875865718834,2.2953774373843494,119.33596171407558,100.18089100662823,3.71490873832059
2025-07-20,East,442,211,29,34,111,36.703556359437634,54.96923989078569,17.2027938669887,283.683199253299,16.74604173506147,3.9155237713486897
2025-07-21,West,348,164,22,85,129,19.428744736184647,58.88064909811942,14.456286064169674,207.20034108241595,60.407065226136964,0.9613218382991351
2025-07-22,East,295,220,44,96,31,32.315648805654114,31.151536609383403,1.3533672380000317,210.02758786831814,143.95197416780007,2.8123450889304547
2025-07-23,North,225,231,12,95,106,35.95288224120276,45.58879252470206,14.156701944595373,121.33759743460219,80.05616039942817,2.7900075001597515
2025-07-24,West,88,239,43,94,41,38.61535548685058,75.6173893873281,10.870764346852921,186.22502153839076,70.58207904275865,2.1617634659699347
